Access Type,Super Admin,Admin,Engineer,Developer,Tester,Production Support
Everything,X,,,,,
..........|- Drift,X,X,X,X,X,X
..........|- List,X,X,X,X,X,X
..........|- Show,X,X,X,X,X,X
..........|- Timelines,X,X,X,X,X,X
..........|- Utilization,X,X,X,X,X,X
.......|- Operate,X,X,,,,
..........|- Check Compliance,X,X,,,,
..........|- Edit Tags,X,X,,,,
..........|- Manage Policies,X,X,,,,
..........|- Policy Simulation,X,X,,,,
..........|- Refresh,X,X,,,,
..........|- Set Ownership,X,X,,,,
.......|- Modify,X,X,,,,
..........|- Edit,X,X,,,,
..........|- Edit EVM Server Relationship,X,X,,,,
..........|- Remove,X,X,,,,
....|- Instance Access Rules,X,X,X,X,X,X
.......|- View,X,X,X,X,X,X
..........|- Compare,X,X,X,X,X,X
..........|- Drift,X,X,X,X,X,X
..........|- List,X,X,X,X,X,X
..........|- Show,X,X,X,X,X,X
..........|- Timelines,X,X,X,X,X,X
..........|- Utilization,X,X,X,X,X,X
.......|- Operate,X,X,,,,
..........|- Check Compliance,X,X,,,,
..........|- Edit Tags,X,X,,,,
..........|- Manage Policies,X,X,,,,
..........|- Policy Simulation,X,X,,,,
..........|- Power Off,X,X,X,X,X,X
..........|- Power On,X,X,X,X,X,X
..........|- Refresh,X,X,X,X,X,X
..........|- Reset,X,X,X,X,X,X
..........|- Restart Guest,X,X,X,X,X,X
..........|- Retire Instances,X,X,X,X,X,X
..........|- Set Ownership,X,X,,,,
..........|- Set Retirement Date,X,X,X,X,X,X
..........|- Shutdown Guest,X,X,X,X,X,X
..........|- Suspend,X,X,X,X,X,X
..........|- Terminate,X,X,,,,
.......|- Modify,X,X,X,X,X,X
..........|- Edit,X,X,,,,
..........|- Edit EVM Server Relationship,X,X,,,,
..........|- Provision Instances,X,X,X,X,X,X
..........|- Remove,X,X,,,,
|- Infrastructure,X,X,X,X,X,X
..|- Infrastructure Providers,X,X,,,,
....|- View,X,X,,,,
.......|- List,X,X,,,,
.......|- Show,X,X,,,,
.......|- Timeline,X,X,,,,
....|- Operate,X,X,,,,
.......|- Discover,X,X,,,,
.......|- Edit Tags,X,X,,,,
.......|- Manage Policies,X,X,,,,
.......|- Refresh,X,X,,,,
....|- Modify,X,X,,,,
.......|- Add,X,X,,,,
.......|- Edit,X,X,,,,
.......|- Remove,X,X,,,,
..|- Clusters,X,X,,,,
....|- View,X,X,,,,
.......|- Compare,X,X,,,,
.......|- Drift,X,X,,,,
.......|- List,X,X,,,,
.......|- Show,X,X,,,,
.......|- Timelines,X,X,,,,
.......|- Utilization,X,X,,,,
....|- Operate,X,X,,,,
.......|- Analysis,X,X,,,,
.......|- Manage Policies,X,X,,,,
.......|- Tag,X,X,,,,
....|- Modify,X,X,,,,
.......|- Remove,X,X,,,,
..|- Hosts,X,X,,,,
....|- View,X,X,,,,
.......|- Compare,X,X,,,,
.......|- Drift,X,X,,,,
.......|- List,X,X,,,,
.......|- Show,X,X,,,,
.......|- Timelines,X,X,,,,
.......|- Utilization,X,X,,,,
....|- Operate,X,X,,,,
.......|- Analysis,X,X,,,,
.......|- Analyze then Check Compliance,X,X,,,,
.......|- Check Compliance,X,X,,,,
.......|- Discover,X,X,,,,
.......|- Edit Tags,X,X,,,,
.......|- Enter Maintenance Mode,X,X,,,,
.......|- Exit Maintenance Mode,X,X,,,,
.......|- Manage Policies,X,X,,,,
.......|- Power Off,X,X,,,,
.......|- Power On,X,X,,,,
.......|- Refresh,X,X,,,,
.......|- Reset,X,X,,,,
.......|- Restart Host,X,X,,,,
.......|- Shutdown Host,X,X,,,,
.......|- Shutdown Host to Standby,X,X,,,,
....|- Modify,X,X,,,,
.......|- Add,X,X,,,,
.......|- Edit,X,X,,,,
.......|- Provision Hosts,X,X,,,,
.......|- Remove,X,X,,,,
..|- Resource Pools,X,X,,,,
....|- View,X,X,,,,
.......|- List,X,X,,,,
.......|- Show,X,X,,,,
....|- Operate,X,X,,,,
.......|- Edit Tags,X,X,,,,
.......|- Manage Policies,X,X,,,,
